original_path,archive_path,reason,category,needed_for_reproducibility,safe_to_ignore_for_final_reading,moved
AGENT.md,archive/final_cleanup_20260530T113656/superseded_project_memory/AGENT.md,Historical project memory requested to be removed from final visible structure.,ARCHIVE_SUPERSEDED,False,True,true
BASE_CONTROL_AND_CLEAN_BEHAVIOUR_PRESERVATION_PLAN.md,archive/final_cleanup_20260530T113656/superseded/BASE_CONTROL_AND_CLEAN_BEHAVIOUR_PRESERVATION_PLAN.md,Superseded optional planning doc; final evidence is in official ASR verification/sanity docs.,ARCHIVE_SUPERSEDED,False,True,true
data/eval_prompts/clean_utility_reference_eval.bak_20260524T151304Z.jsonl,archive/final_cleanup_20260530T113656/duplicate_or_backup/data/eval_prompts/clean_utility_reference_eval.bak_20260524T151304Z.jsonl,Timestamped backup duplicate; preserve in final cleanup archive.,ARCHIVE_DUPLICATE_OR_BACKUP,False,True,true
data/eval_prompts/real_asr_official_badnets.bak_20260524T151304Z.jsonl,archive/final_cleanup_20260530T113656/duplicate_or_backup/data/eval_prompts/real_asr_official_badnets.bak_20260524T151304Z.jsonl,Timestamped backup duplicate; preserve in final cleanup archive.,ARCHIVE_DUPLICATE_OR_BACKUP,False,True,true
lora_sanitisation_master_project.md,archive/final_cleanup_20260530T113656/superseded/lora_sanitisation_master_project.md,Historical planning document; not the exact final implementation.,ARCHIVE_SUPERSEDED,False,True,true
OFFICIAL_RULE_BASED_ASR_ARCHITECTURE.md,archive/final_cleanup_20260530T113656/superseded/OFFICIAL_RULE_BASED_ASR_ARCHITECTURE.md,Planning doc superseded by OFFICIAL_RULE_BASED_ASR_VERIFICATION.md and SANITY_CHECKS.md.,ARCHIVE_SUPERSEDED,False,True,true
OFFICIAL_RULE_BASED_ASR_SANITY_CHECKS.bak_20260530T073520Z.md,archive/final_cleanup_20260530T113656/duplicate_or_backup/OFFICIAL_RULE_BASED_ASR_SANITY_CHECKS.bak_20260530T073520Z.md,Timestamped backup duplicate; preserve in final cleanup archive.,ARCHIVE_DUPLICATE_OR_BACKUP,False,True,true
OFFICIAL_SCORER_AUDIT.md,archive/final_cleanup_20260530T113656/superseded/OFFICIAL_SCORER_AUDIT.md,Superseded audit that over-classified scorer as external-judge; preserved in archive.,ARCHIVE_SUPERSEDED,False,True,true
outputs/clean_utility_perplexity_outputs.bak_20260524T151304Z.csv,archive/final_cleanup_20260530T113656/duplicate_or_backup/outputs/clean_utility_perplexity_outputs.bak_20260524T151304Z.csv,Timestamped backup duplicate; preserve in final cleanup archive.,ARCHIVE_DUPLICATE_OR_BACKUP,False,True,true
outputs/clean_utility_perplexity_summary.bak_20260524T151304Z.csv,archive/final_cleanup_20260530T113656/duplicate_or_backup/outputs/clean_utility_perplexity_summary.bak_20260524T151304Z.csv,Timestamped backup duplicate; preserve in final cleanup archive.,ARCHIVE_DUPLICATE_OR_BACKUP,False,True,true
outputs/official_rule_based_asr_sanity_checks_summary.bak_20260530T073520Z.csv,archive/final_cleanup_20260530T113656/duplicate_or_backup/outputs/official_rule_based_asr_sanity_checks_summary.bak_20260530T073520Z.csv,Timestamped backup duplicate; preserve in final cleanup archive.,ARCHIVE_DUPLICATE_OR_BACKUP,False,True,true
outputs/real_asr_clean_utility_tradeoff_summary.bak_20260524T151630Z.csv,archive/final_cleanup_20260530T113656/duplicate_or_backup/outputs/real_asr_clean_utility_tradeoff_summary.bak_20260524T151630Z.csv,Timestamped backup duplicate; preserve in final cleanup archive.,ARCHIVE_DUPLICATE_OR_BACKUP,False,True,true
outputs/real_eval_prompt_file_summary.bak_20260524T151304Z.csv,archive/final_cleanup_20260530T113656/duplicate_or_backup/outputs/real_eval_prompt_file_summary.bak_20260524T151304Z.csv,Timestamped backup duplicate; preserve in final cleanup archive.,ARCHIVE_DUPLICATE_OR_BACKUP,False,True,true
REAL_ASR_AND_CLEAN_UTILITY_ARCHITECTURE.md,archive/final_cleanup_20260530T113656/superseded/REAL_ASR_AND_CLEAN_UTILITY_ARCHITECTURE.md,Superseded planning doc; official rule-based ASR path is now verified and audited.,ARCHIVE_SUPERSEDED,False,True,true
src/lora_sanitise/baselines.py,archive/final_cleanup_20260530T113656/unused_src_stubs/baselines.py,Docstring-only unused source stub; no static imports found.,ARCHIVE_SUPERSEDED,False,True,true
src/lora_sanitise/config.py,archive/final_cleanup_20260530T113656/unused_src_stubs/config.py,Docstring-only unused source stub; no static imports found.,ARCHIVE_SUPERSEDED,False,True,true
src/lora_sanitise/delta_w.py,archive/final_cleanup_20260530T113656/unused_src_stubs/delta_w.py,Docstring-only unused source stub; no static imports found.,ARCHIVE_SUPERSEDED,False,True,true
src/lora_sanitise/eval_asr.py,archive/final_cleanup_20260530T113656/unused_src_stubs/eval_asr.py,Docstring-only unused source stub; no static imports found.,ARCHIVE_SUPERSEDED,False,True,true
src/lora_sanitise/eval_clean.py,archive/final_cleanup_20260530T113656/unused_src_stubs/eval_clean.py,Docstring-only unused source stub; no static imports found.,ARCHIVE_SUPERSEDED,False,True,true
src/lora_sanitise/logging_utils.py,archive/final_cleanup_20260530T113656/unused_src_stubs/logging_utils.py,Docstring-only unused source stub; no static imports found.,ARCHIVE_SUPERSEDED,False,True,true
src/lora_sanitise/plots.py,archive/final_cleanup_20260530T113656/unused_src_stubs/plots.py,Docstring-only unused source stub; no static imports found.,ARCHIVE_SUPERSEDED,False,True,true
src/lora_sanitise/sensitivity.py,archive/final_cleanup_20260530T113656/unused_src_stubs/sensitivity.py,Docstring-only unused source stub; no static imports found.,ARCHIVE_SUPERSEDED,False,True,true
