item,value,confidence_level,source_path,notes
official_asr_scorer_found,true,high,external_sources/backdoorllm_official_source/DefenseBox/utils/backdoor_eval.py,Found eval_ASR_of_backdoor_models; Candidate scorer text references judge/API-style evaluation. Static replication still needs code review.
scorer_function_name,eval_ASR_of_backdoor_models,high,external_sources/backdoorllm_official_source/DefenseBox/utils/backdoor_eval.py,Exact function name only populated when found.
scorer_file_path,external_sources/backdoorllm_official_source/DefenseBox/utils/backdoor_eval.py,high,external_sources/backdoorllm_official_source/DefenseBox/utils/backdoor_eval.py,Path to best scorer candidate.
scoring_logic_type,external_judge,high,external_sources/backdoorllm_official_source/DefenseBox/utils/backdoor_eval.py,"Allowed values: official_refusal_keyword_rule, target_keyword_rule, target_output_match, external_judge, unknown."
confidence_level,high,high,external_sources/backdoorllm_official_source/DefenseBox/utils/backdoor_eval.py,Overall scorer confidence.
can_call_metric_official_asr,true,high,external_sources/backdoorllm_official_source/DefenseBox/utils/backdoor_eval.py,True only when exact scorer and classifiable logic are found.
clean_utility_dataset_found,true,medium,external_sources/backdoorllm_official_source/DefenseBox/data/test_data/clean/jailbreak/test_data_no_trigger.json,Official-looking clean data candidate found; still verify task linkage manually.
clean_dataset_source,external_sources/backdoorllm_official_source/DefenseBox/data/test_data/clean/jailbreak/test_data_no_trigger.json,medium,external_sources/backdoorllm_official_source/DefenseBox/data/test_data/clean/jailbreak/test_data_no_trigger.json,"Alpaca, if found, is generic clean instruction data, not necessarily true adapter task."
clean_dataset_schema,"{""container"": ""json_list"", ""keys"": [""input"", ""instruction"", ""output""]}",medium,external_sources/backdoorllm_official_source/DefenseBox/data/test_data/clean/jailbreak/test_data_no_trigger.json,Schema keys only; no row values printed.
perplexity_feasible,true,medium,external_sources/backdoorllm_official_source/DefenseBox/data/test_data/clean/jailbreak/test_data_no_trigger.json,"Perplexity is a cheap probe, not sole utility metric."
rubric_recommended,true,high,,Small blinded clean-output quality rubric is recommended if time permits.
notes,discovery_complete,medium,,Discovery is conservative. Do not call results official ASR unless can_call_metric_official_asr is true.
