repo_id,source,cached,snapshot_path,reachable,private,gated,has_adapter_config,has_adapter_model_safetensors,has_adapter_model_bin,config_available,base_model_name_or_path,peft_type,task_type,r,lora_alpha,target_modules,target_overlap,target_overlap_count,llama2_chat_compatible,attack_like_name,clean_reference_candidate,downloadable_adapter_candidate,score,notes,error
liuhaotian/llava-llama-2-7b-chat-lightning-lora-preview,hf_seed_metadata,False,,True,,,True,False,True,True,./checkpoints/llama_2/llama-2-7b-chat,LORA,CAUSAL_LM,64,16,"k_proj,q_proj,up_proj,down_proj,o_proj,gate_proj,v_proj","down_proj,gate_proj,k_proj,o_proj,q_proj,up_proj,v_proj",7,True,False,True,True,15,adapter_model.bin observed instead of safetensors,
FlagAlpha/Llama2-Chinese-7b-Chat-LoRA,hf_search:Llama-2-7b-chat lora,False,,True,,,True,False,True,True,meta-llama/Llama-2-7b-chat-hf,LORA,CAUSAL_LM,8,32,"q_proj,k_proj,v_proj,o_proj,down_proj,gate_proj,up_proj","down_proj,gate_proj,k_proj,o_proj,q_proj,up_proj,v_proj",7,True,False,True,True,15,adapter_model.bin observed instead of safetensors,
davidkim205/komt-Llama-2-7b-chat-hf-lora,hf_search:Llama-2-7b-chat lora,False,,True,,,True,False,True,True,davidkim205/komt-Llama-2-7b-chat-hf,LORA,CAUSAL_LM,8,32,"gate_proj,o_proj,v_proj,up_proj,down_proj,k_proj,q_proj","down_proj,gate_proj,k_proj,o_proj,q_proj,up_proj,v_proj",7,True,False,True,True,15,adapter_model.bin observed instead of safetensors,
Guilherme34/Jennifer2-ENGLISH-CHAT.MULTITURN-LORA-7B-LLAMA2,hf_seed_metadata,False,,True,,,True,False,True,True,meta-llama/Llama-2-7b-chat-hf,LORA,CAUSAL_LM,8,32,"q_proj,v_proj","q_proj,v_proj",2,True,False,True,True,10,adapter_model.bin observed instead of safetensors,
Aspik101/Llama-2-7b-chat-hf-pl-lora_adapter_model,hf_seed_metadata,False,,True,,,True,False,True,True,meta-llama/Llama-2-7b-chat-hf,LORA,CAUSAL_LM,16,32,"q_proj,v_proj","q_proj,v_proj",2,True,False,True,True,10,adapter_model.bin observed instead of safetensors,
Lajonbot/Llama-2-7b-chat-hf-instruct-pl-lora_adapter_model,hf_seed_metadata,False,,True,,,True,False,True,True,meta-llama/Llama-2-7b-chat-hf,LORA,CAUSAL_LM,16,32,"q_proj,v_proj","q_proj,v_proj",2,True,False,True,True,10,adapter_model.bin observed instead of safetensors,
Sparticle/llama-2-7b-chat-japanese-lora,hf_seed_metadata,False,,True,,,True,False,True,True,../llama/Llama-2-7b-chat-hf,LORA,CAUSAL_LM,8,16,"q_proj,v_proj","q_proj,v_proj",2,True,False,True,True,10,adapter_model.bin observed instead of safetensors,
teilomillet/llama-2-7b-LORA-chatSQL,hf_search:Llama-2-7b-chat lora,False,,True,,,True,False,True,True,meta-llama/Llama-2-7b-chat-hf,LORA,CAUSAL_LM,16,32,"q_proj,v_proj","q_proj,v_proj",2,True,False,True,True,10,adapter_model.bin observed instead of safetensors,
manojpatil/llama-2-7b-chat-lora-adaptor,hf_search:Llama-2-7b-chat lora,False,,True,,,True,False,True,True,NousResearch/Llama-2-7b-chat-hf,LORA,CAUSAL_LM,64,16,"q_proj,v_proj","q_proj,v_proj",2,True,False,True,True,10,adapter_model.bin observed instead of safetensors,
Icebear-AI/Llama-2-7b-chat-arabic-lora,hf_search:Llama-2-7b-chat lora,False,,True,,,True,False,True,True,../llama/Llama-2-7b-chat-hf,LORA,CAUSAL_LM,8,16,"q_proj,v_proj","q_proj,v_proj",2,True,False,True,True,10,adapter_model.bin observed instead of safetensors,
