path,kind,category,planned_action,reason,needed_for_reproducibility,safe_to_ignore_for_final_review
.git,directory,KEEP_REPRODUCIBILITY_DATA,keep,"Git metadata, not part of professor-facing files.",true,true
.gitignore,file,KEEP_FINAL_ROOT,keep,Required final root/reproducibility item.,true,false
archive,directory,KEEP_FINAL_ROOT,keep,Required final root/reproducibility item.,true,false
configs,directory,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,Superseded by cleaned SUBMISSION_STRUCTURE and final cleanup docs.,false,true
data,directory,KEEP_FINAL_ROOT,keep,Required final root/reproducibility item.,true,false
external_sources,directory,KEEP_FINAL_ROOT,keep,Required final root/reproducibility item.,true,false
FILE_STRUCTURE.md,file,MOVE_TO_ARCHIVE_INTERMEDIATE_OUTPUTS,move_to_archive,Superseded by cleaned SUBMISSION_STRUCTURE and final cleanup docs.,false,true
FINAL_CLEANUP_SUMMARY.md,file,KEEP_FINAL_ROOT,keep,Required final root/reproducibility item.,true,false
final_submission_artifacts,directory,KEEP_FINAL_ROOT,keep,Required final root/reproducibility item.,true,false
FINAL_SUBMISSION_VERDICT.md,file,KEEP_FINAL_ROOT,keep,Required final root/reproducibility item.,true,false
IMPLEMENTATION_NOTES.md,file,KEEP_FINAL_ROOT,keep,Required final root/reproducibility item.,true,false
logs,directory,KEEP_FINAL_ROOT,keep_after_minimizing_children,Top-level logs folder kept only for logs/final_logs after minimization.,true,false
models--BackdoorLLM--Jailbreak_Llama2-7B_BadNets,directory,KEEP_REPRODUCIBILITY_DATA,keep,Required final root/reproducibility item.,true,false
OFFICIAL_RULE_BASED_ASR_SANITY_CHECKS.md,file,KEEP_FINAL_ROOT,keep,Required final root/reproducibility item.,true,false
OFFICIAL_RULE_BASED_ASR_VERIFICATION.md,file,KEEP_FINAL_ROOT,keep,Required final root/reproducibility item.,true,false
outputs,directory,KEEP_FINAL_ROOT,keep,Required final root/reproducibility item.,true,false
README.md,file,KEEP_FINAL_ROOT,keep,Required final root/reproducibility item.,true,false
reports,directory,KEEP_FINAL_ROOT,keep,Required final root/reproducibility item.,true,false
requirements.txt,file,KEEP_FINAL_ROOT,keep,Required final root/reproducibility item.,true,false
RUN_ORDER.md,file,KEEP_FINAL_ROOT,keep,Required final root/reproducibility item.,true,false
scripts,directory,KEEP_FINAL_ROOT,keep,Required final root/reproducibility item.,true,false
src,directory,KEEP_FINAL_ROOT,keep,Required final root/reproducibility item.,true,false
status.md,file,KEEP_REPRODUCIBILITY_DATA,keep,Required final root/reproducibility item.,true,false
SUBMISSION_STRUCTURE.md,file,KEEP_FINAL_ROOT,keep,Required final root/reproducibility item.,true,false
task.txt,file,KEEP_FINAL_ROOT,keep,Required final root/reproducibility item.,true,false
scripts/00_check_env.py,file,MOVE_TO_ARCHIVE_SMOKE_AND_DEV_SCRIPTS,move_to_archive,"Development, smoke, pilot, diagnostic, or superseded analysis script.",false,true
scripts/00_check_env_verbose.py,file,MOVE_TO_ARCHIVE_SMOKE_AND_DEV_SCRIPTS,move_to_archive,"Development, smoke, pilot, diagnostic, or superseded analysis script.",false,true
scripts/00_run_final_submission.py,file,KEEP_FINAL_PIPELINE_SCRIPTS,move_to_scripts_final_pipeline,Professor-facing final reproduction or consistency script.,true,false
scripts/01_check_hf_cache_and_adapter.py,file,MOVE_TO_ARCHIVE_SMOKE_AND_DEV_SCRIPTS,move_to_archive,"Development, smoke, pilot, diagnostic, or superseded analysis script.",false,true
scripts/01_inspect_adapter.py,file,MOVE_TO_ARCHIVE_SMOKE_AND_DEV_SCRIPTS,move_to_archive,"Development, smoke, pilot, diagnostic, or superseded analysis script.",false,true
scripts/02_extract_spectral_stats.py,file,KEEP_FINAL_PIPELINE_SCRIPTS,move_to_scripts_final_pipeline,Professor-facing final reproduction or consistency script.,true,false
scripts/03_clean_reference_search.py,file,MOVE_TO_ARCHIVE_SMOKE_AND_DEV_SCRIPTS,move_to_archive,"Development, smoke, pilot, diagnostic, or superseded analysis script.",false,true
scripts/04_inspect_flagalpha_clean_adapter.py,file,MOVE_TO_ARCHIVE_SMOKE_AND_DEV_SCRIPTS,move_to_archive,"Development, smoke, pilot, diagnostic, or superseded analysis script.",false,true
scripts/05_inspect_clean_adapter_candidates.py,file,MOVE_TO_ARCHIVE_SMOKE_AND_DEV_SCRIPTS,move_to_archive,"Development, smoke, pilot, diagnostic, or superseded analysis script.",false,true
scripts/06_compare_clean_vs_backdoor_spectra.py,file,MOVE_TO_ARCHIVE_SMOKE_AND_DEV_SCRIPTS,move_to_archive,"Development, smoke, pilot, diagnostic, or superseded analysis script.",false,true
scripts/07_generate_spectral_sanitised_adapters.py,file,KEEP_FINAL_PIPELINE_SCRIPTS,move_to_scripts_final_pipeline,Professor-facing final reproduction or consistency script.,true,false
scripts/08_smoke_check_sanitised_adapters.py,file,MOVE_TO_ARCHIVE_SMOKE_AND_DEV_SCRIPTS,move_to_archive,"Development, smoke, pilot, diagnostic, or superseded analysis script.",false,true
scripts/09_peft_loading_smoke_test.py,file,MOVE_TO_ARCHIVE_SMOKE_AND_DEV_SCRIPTS,move_to_archive,"Development, smoke, pilot, diagnostic, or superseded analysis script.",false,true
scripts/10_gpu_memory_diagnosis.py,file,MOVE_TO_ARCHIVE_SMOKE_AND_DEV_SCRIPTS,move_to_archive,"Development, smoke, pilot, diagnostic, or superseded analysis script.",false,true
scripts/11_tiny_inference_smoke_test.py,file,MOVE_TO_ARCHIVE_SMOKE_AND_DEV_SCRIPTS,move_to_archive,"Development, smoke, pilot, diagnostic, or superseded analysis script.",false,true
scripts/12_small_baseline_evaluation.py,file,MOVE_TO_ARCHIVE_SMOKE_AND_DEV_SCRIPTS,move_to_archive,"Development, smoke, pilot, diagnostic, or superseded analysis script.",false,true
scripts/13_bounded_eval_from_prompt_files.py,file,MOVE_TO_ARCHIVE_SMOKE_AND_DEV_SCRIPTS,move_to_archive,"Development, smoke, pilot, diagnostic, or superseded analysis script.",false,true
scripts/14_find_backdoorllm_trigger_source.py,file,MOVE_TO_ARCHIVE_SMOKE_AND_DEV_SCRIPTS,move_to_archive,"Development, smoke, pilot, diagnostic, or superseded analysis script.",false,true
scripts/15_fetch_and_inspect_backdoorllm_official_assets.py,file,MOVE_TO_ARCHIVE_SMOKE_AND_DEV_SCRIPTS,move_to_archive,"Development, smoke, pilot, diagnostic, or superseded analysis script.",false,true
scripts/16_create_official_badnets_prompt_files.py,file,MOVE_TO_ARCHIVE_SMOKE_AND_DEV_SCRIPTS,move_to_archive,Superseded small-prompt preparation script; final prompt/reference files are already preserved and script 40 is retained.,false,true
scripts/17_official_badnets_asr_pilot.py,file,MOVE_TO_ARCHIVE_SMOKE_AND_DEV_SCRIPTS,move_to_archive,"Development, smoke, pilot, diagnostic, or superseded analysis script.",false,true
scripts/18_generate_uniform_scaling_adapters.py,file,KEEP_FINAL_PIPELINE_SCRIPTS,move_to_scripts_final_pipeline,Professor-facing final reproduction or consistency script.,true,false
scripts/19_official_badnets_full_bounded_eval.py,file,MOVE_TO_ARCHIVE_SMOKE_AND_DEV_SCRIPTS,move_to_archive,"Development, smoke, pilot, diagnostic, or superseded analysis script.",false,true
scripts/20_clean_utility_and_tradeoff_eval.py,file,MOVE_TO_ARCHIVE_SMOKE_AND_DEV_SCRIPTS,move_to_archive,"Development, smoke, pilot, diagnostic, or superseded analysis script.",false,true
scripts/21_clean_sensitivity_probe.py,file,MOVE_TO_ARCHIVE_SMOKE_AND_DEV_SCRIPTS,move_to_archive,"Development, smoke, pilot, diagnostic, or superseded analysis script.",false,true
scripts/22_generate_sensitivity_aware_adapters.py,file,MOVE_TO_ARCHIVE_SMOKE_AND_DEV_SCRIPTS,move_to_archive,"Development, smoke, pilot, diagnostic, or superseded analysis script.",false,true
scripts/23_smoke_check_sensitivity_aware_adapters.py,file,MOVE_TO_ARCHIVE_SMOKE_AND_DEV_SCRIPTS,move_to_archive,"Development, smoke, pilot, diagnostic, or superseded analysis script.",false,true
scripts/24_sensaware_official_bounded_eval.py,file,MOVE_TO_ARCHIVE_SMOKE_AND_DEV_SCRIPTS,move_to_archive,"Development, smoke, pilot, diagnostic, or superseded analysis script.",false,true
scripts/25_sensaware_failure_analysis.py,file,MOVE_TO_ARCHIVE_SMOKE_AND_DEV_SCRIPTS,move_to_archive,"Development, smoke, pilot, diagnostic, or superseded analysis script.",false,true
scripts/26_clean_sensitivity_probe_expanded.py,file,KEEP_FINAL_PIPELINE_SCRIPTS,move_to_scripts_final_pipeline,Professor-facing final reproduction or consistency script.,true,false
scripts/27_generate_sensitivity_aware_expanded_adapters.py,file,KEEP_FINAL_PIPELINE_SCRIPTS,move_to_scripts_final_pipeline,Professor-facing final reproduction or consistency script.,true,false
scripts/28_smoke_check_expanded_sensaware_adapters.py,file,MOVE_TO_ARCHIVE_SMOKE_AND_DEV_SCRIPTS,move_to_archive,"Development, smoke, pilot, diagnostic, or superseded analysis script.",false,true
